physical_unit_id	path	spot_count	index_fingerprint_sha256	fingerprint_status
HTAN::8899_AS_3_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_3_filtered_trimmed.h5ad	1727	2a131b8e3854dc4f97cc295f242ac4edfb418c8f91eca16f125c345d36a2d0be	INDEX_VALUE_PINNED
HTAN::8899_AS_4_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_4_filtered_trimmed.h5ad	3636	e1bb05bc2001d3042dfb0f1a78ff8a5f21b783a2fbc3a9a3afdf84ac83f035c4	INDEX_VALUE_PINNED
HTAN::8899_AS_5_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_5_filtered_trimmed.h5ad	3502	25a25a644b61b8493ba4655a966ba47be4fa606b9d6482f9ce1284c08d8f6c5f	INDEX_VALUE_PINNED
HTAN::8899_AS_6_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_6_filtered_trimmed.h5ad	3578	ced944874845ee8a2f3c7027e559f086b5b3a50a072242e516ab1d8bb2a67d03	INDEX_VALUE_PINNED
HTAN::8899_AS_7_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_7_filtered_trimmed.h5ad	3731	42680ef0b42b25f171fa6cc7e65e766a05383159cf52564c1aa6012e3b7dc5d6	INDEX_VALUE_PINNED
HTAN::8899_AS_8_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_8_filtered_trimmed.h5ad	3385	87a651480760cb0315b65fc8e8dcb04100c4993210c67510ca0ec839bf2494f5	INDEX_VALUE_PINNED
ST_CRC_CMS::SN048_A121573_Rep1	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN048_A121573_Rep1_tissue_positions_list.csv	2203	6122785535e4ab2be81337ae425983db5be309fe232175571b973ad67895f384	INDEX_VALUE_PINNED
ST_CRC_CMS::SN048_A121573_Rep2	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN048_A121573_Rep2_tissue_positions_list.csv	2385	3742a5da3f2af2a61fb09647f59ece67c8c80c8d817ef874a68687689bba189a	INDEX_VALUE_PINNED
ST_CRC_CMS::SN048_A416371_Rep1	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN048_A416371_Rep1_tissue_positions_list.csv	2317	9dccc0d7dd4e1a17366015f1d961280586b8c8100a0c9ae74e98635f7c9c70a6	INDEX_VALUE_PINNED
ST_CRC_CMS::SN048_A416371_Rep2	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN048_A416371_Rep2_tissue_positions_list.csv	1803	fbb9d35f52bcacfc2f06b4273c03842a40534b5a0612bff2eb2dda6d196eaebf	INDEX_VALUE_PINNED
ST_CRC_CMS::SN123_A551763_Rep1	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN123_A551763_Rep1_tissue_positions_list.csv	691	571acfaed95b7c86b8a2b02ea6d3fb1e49804737ba1270d7356542465ee55d04	INDEX_VALUE_PINNED
ST_CRC_CMS::SN123_A595688_Rep1	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN123_A595688_Rep1_tissue_positions_list.csv	1192	7b571cb7ef52aa3d631aebddaf071931c7a9dee5007540b8ce2dc5d354301dfd	INDEX_VALUE_PINNED
ST_CRC_CMS::SN123_A798015_Rep1	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN123_A798015_Rep1_tissue_positions_list.csv	1685	fca6ea15391e584796f7e20b9a74139901e2ead8e56ef6eceb98f98db49986dd	INDEX_VALUE_PINNED
ST_CRC_CMS::SN123_A938797_Rep1_X	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN123_A938797_Rep1_X_tissue_positions_list.csv	2128	495265986775cf613843df209875b7a5302aff9e43386cd448a7213d6e980849	INDEX_VALUE_PINNED
ST_CRC_CMS::SN124_A551763_Rep2	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN124_A551763_Rep2_tissue_positions_list.csv	1219	2696d25895c64b9c543bedbd7ed32725514bf0ba2987e814cbd5e9618f2a5424	INDEX_VALUE_PINNED
ST_CRC_CMS::SN124_A595688_Rep2	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN124_A595688_Rep2_tissue_positions_list.csv	387	7fb396c8f26036de5ca2101e1324f8ab17bfb4aba1dba85e43c81d718c9659f1	INDEX_VALUE_PINNED
ST_CRC_CMS::SN124_A798015_Rep2	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN124_A798015_Rep2_tissue_positions_list.csv	1656	85ba79ecd22f6502e913b6f61685bb7a37a12713e9f45774a32c3944c486e3fe	INDEX_VALUE_PINNED
ST_CRC_CMS::SN124_A938797_Rep2	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN124_A938797_Rep2_tissue_positions_list.csv	1691	27ff574b796cbe63cf71ca70963d24c233550ab4b828dc743017d43c8e05716c	INDEX_VALUE_PINNED
ST_CRC_CMS::SN84_A120838_Rep1	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN84_A120838_Rep1_tissue_positions_list.csv	328	c2be5d2f64841fc4d4a2289261ee7d531c98c520a45f04163945553dfbaf31eb	INDEX_VALUE_PINNED
ST_CRC_CMS::SN84_A120838_Rep2	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN84_A120838_Rep2_tissue_positions_list.csv	1048	bf83e4a48338b895c677b26c6959a03bbe166bf82bc85ba4c2c7a61ddc82a6d7	INDEX_VALUE_PINNED
TLS_VISIUM_USZ::KC1	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/h5ad_preprocessed/KC1.h5ad	3690	ce4e85594f1679a74bcfd651f44c8e034de498de5bdb72fdf70185943d80936d	INDEX_VALUE_PINNED
TLS_VISIUM_USZ::KC2	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/h5ad_preprocessed/KC2.h5ad	1870	0de45b4f6fed95224ab20877ff4b76f6cd948811f1f3c51a83e858963a669228	INDEX_VALUE_PINNED
TLS_VISIUM_USZ::KC3	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/h5ad_preprocessed/KC3.h5ad	2654	485c071d0b23dc26faa1d37a9dfc1c40db848964a812fefbc494ec27493a3673	INDEX_VALUE_PINNED
