section	patient	focus	focus_size	half_hops	seed	pos_cov	mhc2_pos	b_pos	mhc2_neg_med	b_neg_med	mhc2_hit	b_hit	n_neg
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	10	42	5.0	11	0.418	0.7919	0.3047	0.5802	0.2755	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	10	42	5.0	22	0.418	0.7919	0.3047	1.1027	0.3358	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	10	42	5.0	33	0.418	0.7919	0.3047	0.4811	0.2398	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	10	42	8.0	11	0.281	0.7391	0.298	0.2084	0.1666	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	10	42	8.0	22	0.281	0.7391	0.298	0.8	0.3331	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	10	42	8.0	33	0.281	0.7391	0.298	1.8075	0.4546	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	11	11	3.0	11	0.306	0.9478	0.3638	0.7601	0.3209	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	11	11	3.0	22	0.306	0.9478	0.3638	1.0891	0.324	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	11	11	3.0	33	0.306	0.9478	0.3638	0.9261	0.3418	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	11	11	5.0	11	0.153	0.8646	0.3607	1.2044	0.3518	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	11	11	5.0	22	0.153	0.8646	0.3607	1.1624	0.4073	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	11	11	5.0	33	0.153	0.8646	0.3607	1.1611	0.3486	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	11	11	8.0	11	0.241	0.8976	0.3512	0.289	0.1893	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	11	11	8.0	22	0.241	0.8976	0.3512	0.4671	0.2677	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	11	11	8.0	33	0.241	0.8976	0.3512	1.2408	0.3562	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	12	21	3.0	11	0.472	0.4492	0.198	0.4778	0.2236	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	12	21	3.0	22	0.472	0.4492	0.198	0.7762	0.327	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	12	21	3.0	33	0.472	0.4492	0.198	0.4549	0.2591	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	12	21	5.0	11	0.235	0.602	0.2523	0.837	0.3242	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	12	21	5.0	22	0.235	0.602	0.2523	0.7152	0.3438	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	12	21	5.0	33	0.235	0.602	0.2523	0.3587	0.2231	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	12	21	8.0	11	0.174	0.6579	0.2711	0.5599	0.252	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	12	21	8.0	22	0.174	0.6579	0.2711	0.7691	0.3082	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	12	21	8.0	33	0.174	0.6579	0.2711	0.9243	0.3043	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	13	30	3.0	11	0.561	1.3493	0.4621	1.2588	0.4312	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	13	30	3.0	22	0.561	1.3493	0.4621	0.9286	0.277	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	13	30	3.0	33	0.561	1.3493	0.4621	0.6776	0.2898	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	13	30	5.0	11	0.367	1.2561	0.4614	0.5739	0.2782	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	13	30	5.0	22	0.367	1.2561	0.4614	0.8867	0.4063	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	13	30	5.0	33	0.367	1.2561	0.4614	0.6003	0.2667	True	True	4
