program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC5	7	312	0.0743	2.75e-05	flat	0.028
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC5	7	312	0.1104	7.13e-08	flat	0.0283
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC5	7	312	0.0044	0.715	flat	0.0031
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC5	7	312	0.1712	1.62e-12	flat	0.0379
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC5	7	312	0.0366	0.00927	flat	0.0252
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC5	7	312	0.0961	7.8e-07	flat	0.0469
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC5	7	312	0.0417	0.00433	flat	0.0163
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC5	7	312	0.0703	5.15e-05	flat	0.0124
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC5	7	312	0.0588	0.000317	flat	0.0099
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC5	7	312	0.1179	2.01e-08	flat	0.0145
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC5	7	312	0.0143	0.218	flat	0.0065
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC5	7	312	0.0745	2.64e-05	flat	0.034
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC5	7	312	0.0388	0.00668	flat	0.0234
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC5	7	312	0.0828	6.89e-06	flat	0.0527
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC5	7	312	0.1354	9.74e-10	flat	0.0121
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::KC2	4	481	0.0278	0.0037	flat	0.003
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::KC2	4	481	0.0445	7.34e-05	flat	0.0021
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::KC2	4	481	0.0277	0.00383	flat	0.0018
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::KC2	4	481	0.0308	0.00186	flat	0.0026
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::KC2	4	481	0.0066	0.368	flat	0.0044
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::KC2	4	481	0.0057	0.436	flat	0.0029
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::KC2	4	481	0.053	9.6e-06	flat	0.0072
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::KC2	4	481	0.0228	0.0116	flat	0.0031
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::KC2	4	481	0.1399	1.64e-15	flat	0.0087
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::KC2	4	481	0.0191	0.0265	flat	0.0062
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::KC2	4	481	0.173	1.56e-19	flat	0.0248
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::KC2	4	481	0.0168	0.0437	flat	0.0083
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::KC2	4	481	0.0121	0.122	flat	0.0032
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::KC2	4	481	0.0095	0.209	flat	0.0018
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::KC2	4	481	0.2575	1.3e-30	flat	0.0073
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::KC2	4	481	0.0237	0.0096	flat	0.0031
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::KC2	4	481	0.0449	6.7e-05	flat	0.0068
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::KC2	4	481	0.0482	3.02e-05	flat	0.0061
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::KC2	4	481	0.0008	0.944	flat	0.0023
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::KC2	4	481	0.0841	4.14e-09	flat	0.0041
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC4	14	257	0.0835	6.17e-05	flat	0.0055
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC4	14	257	0.1796	7.33e-11	flat	0.0078
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC4	14	257	0.0429	0.0111	flat	0.0036
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC4	14	257	0.1087	2.06e-06	flat	0.0047
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC4	14	257	0.0587	0.00156	flat	0.0234
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC4	14	257	0.0191	0.18	flat	0.0085
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC4	14	257	0.1841	3.66e-11	flat	0.0178
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC4	14	257	0.0282	0.0643	flat	0.0034
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC4	14	257	0.2749	1.49e-17	flat	0.0234
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC4	14	257	0.0314	0.0442	flat	0.0088
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC4	14	257	0.1714	2.5e-10	flat	0.0501
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC4	14	257	0.0327	0.0381	flat	0.0118
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC4	14	257	0.0482	0.00576	flat	0.0044
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC4	14	257	0.0379	0.0205	flat	0.0039
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC4	14	257	0.3005	1.62e-19	flat	0.0142
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC4	14	257	0.104	3.9e-06	flat	0.0094
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC4	14	257	0.1806	6.25e-11	flat	0.0278
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC4	14	257	0.0781	0.000126	flat	0.0178
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC4	14	257	0.0468	0.00685	flat	0.0153
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC4	14	257	0.0828	6.81e-05	flat	0.0052
