program	cohort	section	patient	baseline	mse_med	n_windows
P-epi	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	nn	0.18762	12
P-epi	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	m1	0.03925	12
P-epi	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	m2	0.04024	12
P-stromal	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	nn	0.3553	12
P-stromal	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	m1	0.04674	12
P-stromal	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	m2	0.0471	12
P-plasma	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	nn	0.03657	12
P-plasma	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	m1	0.00847	12
P-plasma	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	m2	0.00789	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	nn	0.08249	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	m1	0.03491	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	m2	0.03292	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	nn	0.10623	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	m1	0.05062	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	m2	0.04958	12
