program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::KC2	4	481	0.0208	0.0182	nonmonotonic	0.0072
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::KC2	4	481	0.0029	0.707	high-to-low	0.0038
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::KC2	4	481	0.0964	1.76e-10	nonmonotonic	0.0039
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC4	14	257	0.0203	0.158	high-to-low	0.0051
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC4	14	257	0.0058	0.686	flat	0.0017
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC4	14	257	0.012	0.384	nonmonotonic	0.0034
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC4	14	257	0.0124	0.369	nonmonotonic	0.0028
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC4	14	257	0.0282	0.0641	high-to-low	0.0291
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC4	14	257	0.0049	0.742	nonmonotonic	0.0072
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC4	14	257	0.0504	0.0044	nonmonotonic	0.0135
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC4	14	257	0.0268	0.0755	nonmonotonic	0.0057
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC4	14	257	0.0892	2.91e-05	high-to-low	0.018
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC4	14	257	0.0051	0.729	nonmonotonic	0.0056
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC4	14	257	0.0653	0.00067	nonmonotonic	0.0382
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC4	14	257	0.0217	0.135	nonmonotonic	0.0135
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC4	14	257	0.021	0.146	nonmonotonic	0.005
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC4	14	257	0.0635	0.000837	high-to-low	0.0066
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC4	14	257	0.1897	1.56e-11	nonmonotonic	0.0148
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC4	14	257	0.0075	0.593	high-to-low	0.0036
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC4	14	257	0.0592	0.00145	nonmonotonic	0.0227
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC4	14	257	0.0045	0.768	nonmonotonic	0.0069
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC4	14	257	0.0195	0.173	high-to-low	0.016
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC4	14	257	0.0507	0.00424	high-to-low	0.0076
