# r16.field_registry.v1.1 (2026-09-15, D-118 tier1b + D-119 tier2j joint; grades capped at EXPLORATORY_REPRODUCED; CLAIM_CANDIDATE requires separate approval)
pattern_id	tier	kind	axis_name	lineage	n_sections	n_patients	resolution_support	top_markers	geometry	effect_size	null_type	null_draws	null_p	fdr_q	cross_patient_shape_corr	residual_dimension	uncertainty_ci95	evidence_grade	notes
R16P037	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	GSN;TMA7;UQCRQ;TKT;ATP5F1B;VDAC1;NPM1;UBA52;EIF4B;TXN	NA	0.591	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=0.94;best_axis=Epi(0.07)_UNEXPLAINED
R16P038	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	SERF1A;KRT8;DEPRECATED_ENSG00000140264;FAM153B;S100A6;S100A10;LGALS4;TMSB10;ALDOA;ATP1B1	NA	0.627	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.33;purity=0.92;best_axis=Epi(0.27)_UNEXPLAINED
R16P039	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	COL1A2;PTGDS;COL3A1;DCN;GREM1;COL1A1;MMP2;BASP1;COL6A3;FBN1	NA	0.852	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=0.86;best_axis=Stromal(0.30)_UNEXPLAINED
R16P040	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	DEPRECATED_ENSG00000211890;CFD;IGKC;TMSB4X;ACTA2;FTL;PHGR1;DCN;B2M;ACTB	NA	0.849	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=1.00;best_axis=Stromal(0.60)_explained
R16P041	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	C11orf96;MYH11;PPP1R14A;FLNA;NR4A1;ADIRF;RHOB;DEPRECATED_ENSG00000170345;MUSTN1;CRIP2	NA	0.797	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=0.99;best_axis=Epi(-0.02)_UNEXPLAINED
R16P042	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	COL1A2;DEPRECATED_ENSG00000170345;COL3A1;SPARC;COL1A1;IGKC;UBC;TPM2;JUN;CCN2	NA	0.728	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=0.84;best_axis=Plasma(0.52)_explained
R16P043	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	BGN;IGHG1;VIM;COL3A1;IGKC;IGFBP7;C1R;SPARC;COL1A1;COL6A3	NA	0.904	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.33;purity=0.82;best_axis=Plasma(0.80)_explained
R16P044	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	LCN2;SLC25A5;ATP5F1B;CLDN4;LRATD1;ACTG1;KRT8;PDZK1IP1;PFN1;S100A6	NA	0.470	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=0.96;best_axis=Epi(0.03)_UNEXPLAINED
R16P045	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	PHGR1;TFF1;C15orf48;FXYD3;LGALS4;CEACAM5;FCGBP;GAPDH;PIGR;TFF3	NA	0.765	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=1.00;best_axis=Epi(0.57)_explained
R16P046	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	RETNLB;KLK1;MUC2;SPINK4;CLCA1;IFI6;LRRC26;ITLN1;FAM3D;MLPH	NA	0.783	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.33;purity=0.91;best_axis=Plasma(0.42)_UNEXPLAINED
