evidence_id	entity_type	entity_id	field	source_asset	metadata_path	metadata_key	raw_value	normalized_value	evidence_grade	interpretation	conflict_flag
external_geo::GSM8452860::block_unknown	physical_unit	external_geo::GSM8452860	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452861::patient	physical_unit	external_geo::GSM8452861	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-5B	GSE274557::P5	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452861::physical_specimen	physical_unit	external_geo::GSM8452861	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154201	SAMN43154201	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452861::block_unknown	physical_unit	external_geo::GSM8452861	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452862::patient	physical_unit	external_geo::GSM8452862	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-5C	GSE274557::P5	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452862::physical_specimen	physical_unit	external_geo::GSM8452862	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154200	SAMN43154200	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452862::block_unknown	physical_unit	external_geo::GSM8452862	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452863::patient	physical_unit	external_geo::GSM8452863	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-6A	GSE274557::P6	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452863::physical_specimen	physical_unit	external_geo::GSM8452863	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154199	SAMN43154199	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452863::block_unknown	physical_unit	external_geo::GSM8452863	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452864::patient	physical_unit	external_geo::GSM8452864	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-6B	GSE274557::P6	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452864::physical_specimen	physical_unit	external_geo::GSM8452864	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154198	SAMN43154198	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452864::block_unknown	physical_unit	external_geo::GSM8452864	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452865::patient	physical_unit	external_geo::GSM8452865	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-6C	GSE274557::P6	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452865::physical_specimen	physical_unit	external_geo::GSM8452865	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154197	SAMN43154197	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452865::block_unknown	physical_unit	external_geo::GSM8452865	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
