asset_id	source_namespace	accession	source_sample_id	path	asset_type	format	bytes	checksum_status	checksum	processing_level	parent_asset_id	record_status
HTAN::8578_AS_2_filtered_trimmed_WD84226.h5ad	HTAN_VANDERBILT_CRC		8578_AS_2	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_2_filtered_trimmed_WD84226.h5ad	processed_expression_container	h5ad	97729919	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8578_AS_2_filtered_trimmed_WD84594.h5ad	HTAN_VANDERBILT_CRC		8578_AS_2	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_2_filtered_trimmed_WD84594.h5ad	processed_expression_container	h5ad	100663524	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8578_AS_3_filtered_trimmed_WD84221.h5ad	HTAN_VANDERBILT_CRC		8578_AS_3	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_3_filtered_trimmed_WD84221.h5ad	processed_expression_container	h5ad	94704717	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8578_AS_3_filtered_trimmed_WD84596.h5ad	HTAN_VANDERBILT_CRC		8578_AS_3	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_3_filtered_trimmed_WD84596.h5ad	processed_expression_container	h5ad	96152728	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8578_AS_4_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8578_AS_4	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_4_filtered_trimmed.h5ad	processed_expression_container	h5ad	126121428	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8899_AS_1_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8899_AS_1	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_1_filtered_trimmed.h5ad	processed_expression_container	h5ad	127248381	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8899_AS_2_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8899_AS_2	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_2_filtered_trimmed.h5ad	processed_expression_container	h5ad	118818626	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8899_AS_3_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8899_AS_3	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_3_filtered_trimmed.h5ad	processed_expression_container	h5ad	91537822	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8899_AS_4_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8899_AS_4	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_4_filtered_trimmed.h5ad	processed_expression_container	h5ad	155164435	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8899_AS_5_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8899_AS_5	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_5_filtered_trimmed.h5ad	processed_expression_container	h5ad	105247134	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8899_AS_6_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8899_AS_6	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_6_filtered_trimmed.h5ad	processed_expression_container	h5ad	123977920	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8899_AS_7_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8899_AS_7	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_7_filtered_trimmed.h5ad	processed_expression_container	h5ad	121926678	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8899_AS_8_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8899_AS_8	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_8_filtered_trimmed.h5ad	processed_expression_container	h5ad	98657778	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
META::access_control_manifest	access_control_manifest			data/access_control_needed/access_control_datasets.tsv	metadata_source	table	2190	sha256_verified	eb983f3981bde9fe8fc3aa37aeb759f148b772a9ea5c6f7a6871571517ebaba0	bundled_metadata		PRESENT
META::atlas_non_geo_manifest	atlas_non_geo_manifest			data/other_sources/sources_manifest.tsv	metadata_source	table	6809	sha256_verified	1c314522118bdae33c93e8784664963976f039d6ad28d9356ceb9c220434e805	bundled_metadata		PRESENT
META::atlas_supplement_tables	atlas_supplement_tables			paper/tables/science.adz2742_tables_s1_to_s8.xlsx	metadata_source	metadata_workbook	165696	sha256_verified	5978cba8314ff76953d339011c75691bad305dbff195ccc40abdf0bd0e51105d	bundled_metadata		PRESENT
META::geo_filelists	geo_filelists			data/GEO/*/filelist.txt	metadata_source	text_collection	104014	AGGREGATE_SHA256	f03ea9787c388336c1737aa41f714a1dd6b25a4cd99e235868b8638313e06b0e	bundled_metadata		PRESENT
META::hest_metadata_json	hest_metadata_json			data/other_sources/hest1k/metadata/*.json	metadata_source	json_collection	625930	AGGREGATE_SHA256	0eae6fdeddbd11c90491b63fae83ff47b0640301a532add3f17ff13ef555652d	bundled_metadata		PRESENT
META::hest_selected_samples	hest_selected_samples			data/other_sources/hest1k/selected_samples.tsv	metadata_source	table	22181	sha256_verified	055583dffbd149b11fe4cc4699c78f0016d8d0114c5dfe14b1948d4e56fbc4c8	bundled_metadata		PRESENT
META::spatialdb_manifest	spatialdb_manifest			data/other_sources/spatialdb/manifest.tsv	metadata_source	table	678	sha256_verified	77337951897ced1cea8f2c1266f2a3aa7cbe87907a374cb2f633434a1e78f41c	bundled_metadata		PRESENT
META::stomicsdb_manifest	stomicsdb_manifest			data/other_sources/stomicsdb/manifest.tsv	metadata_source	table	10113	sha256_verified	537aa7c0d8990e8612d365624b0b2f952b6473be3ddc01931dd4a9f63551caeb	bundled_metadata		PRESENT
META::supplementary_resource_manifest	supplementary_resource_manifest			data/other_sources/supplementary_tumor_ST_resources.tsv	metadata_source	table	2959	sha256_verified	a3b8f54058cb301479283fceb4ea59e70cfabe927dfc5bc13082cedae3bb9a6f	bundled_metadata		PRESENT
META::tenx_recent_manifest	tenx_recent_manifest			data/other_sources/10x_genomics/manifest_3yr.tsv	metadata_source	table	50101	sha256_verified	9c0755950c6021d8024e9a8dd1a234b0a4ac0c94a4affa62cefdc87a7918aab0	bundled_metadata		PRESENT
META::upstream_blca_cohort_metadata	upstream_blca_cohort_metadata			repo/data_meta/ST_BLCA_cohort_meta.xlsx	metadata_source	metadata_workbook	9504	sha256_verified	265d416cbcf1af3b793cefa4637a1e8117b4e93d78cb8b50a305d300168d8adb	bundled_metadata		PRESENT
