program	patient	section	n_spots	gene_coverage	moran_raw	moran_resid_Q	moran_resid_QC	status
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN::8899_AS_7_filtered_trimmed.h5ad	3731	2/2	0.7563	0.3385	0.2018	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN::8899_AS_7_filtered_trimmed.h5ad	3731	2/2	0.6109	0.5153	0.3602	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN::8899_AS_8_filtered_trimmed.h5ad	3385	16/16	0.8194	0.6477	0.4371	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN::8899_AS_8_filtered_trimmed.h5ad	3385	9/9	0.757	0.6808	0.3263	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN::8899_AS_8_filtered_trimmed.h5ad	3385	11/11	0.7518	0.5901	0.3233	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN::8899_AS_8_filtered_trimmed.h5ad	3385	3/3	0.7196	0.7678	0.5751	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN::8899_AS_8_filtered_trimmed.h5ad	3385	2/2	0.5579	0.3269	0.0759	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN::8899_AS_8_filtered_trimmed.h5ad	3385	2/2	0.6826	0.521	0.3527	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN::7794_AS_3_filtered_trimmed.h5ad	3395	16/16	0.7529	0.3833	0.3022	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN::7794_AS_3_filtered_trimmed.h5ad	3395	9/9	0.5483	0.3369	0.2291	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN::7794_AS_3_filtered_trimmed.h5ad	3395	11/11	0.1791	0.1558	0.099	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN::7794_AS_3_filtered_trimmed.h5ad	3395	3/3	0.3385	0.0944	0.0597	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN::7794_AS_3_filtered_trimmed.h5ad	3395	2/2	0.0982	0.0143	0.0056	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN::7794_AS_3_filtered_trimmed.h5ad	3395	2/2	0.5105	0.1647	0.1585	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN::8578_AS_3_filtered_trimmed_WD84221.h5ad	237	16/16	0.9042	0.5	0.4276	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN::8578_AS_3_filtered_trimmed_WD84221.h5ad	237	9/9	0.8656	0.4362	0.3071	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN::8578_AS_3_filtered_trimmed_WD84221.h5ad	237	11/11	0.1443	0.107	0.0512	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN::8578_AS_3_filtered_trimmed_WD84221.h5ad	237	3/3	0.6912	0.1908	0.0345	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN::8578_AS_3_filtered_trimmed_WD84221.h5ad	237	2/2	0.4493	0.0616	-0.0046	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN::8578_AS_3_filtered_trimmed_WD84221.h5ad	237	2/2	0.8477	0.2511	0.2093	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::3e050f81f3d36d48	HTAN::8578_AS_4_filtered_trimmed.h5ad	3708	16/16	0.7089	0.3815	0.1734	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::3e050f81f3d36d48	HTAN::8578_AS_4_filtered_trimmed.h5ad	3708	9/9	0.5194	0.5167	0.1371	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::3e050f81f3d36d48	HTAN::8578_AS_4_filtered_trimmed.h5ad	3708	11/11	0.6451	0.2854	0.1997	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::3e050f81f3d36d48	HTAN::8578_AS_4_filtered_trimmed.h5ad	3708	3/3	0.5955	0.5574	0.2995	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::3e050f81f3d36d48	HTAN::8578_AS_4_filtered_trimmed.h5ad	3708	2/2	0.5527	0.4491	0.1351	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::3e050f81f3d36d48	HTAN::8578_AS_4_filtered_trimmed.h5ad	3708	2/2	0.5987	0.5553	0.4613	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	HTAN::7319_AS_2_filtered_trimmed.h5ad	2047	16/16	0.8048	0.783	0.4773	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	HTAN::7319_AS_2_filtered_trimmed.h5ad	2047	9/9	0.7475	0.6799	0.2952	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	HTAN::7319_AS_2_filtered_trimmed.h5ad	2047	11/11	0.7135	0.5272	0.3132	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	HTAN::7319_AS_2_filtered_trimmed.h5ad	2047	3/3	0.7371	0.6998	0.4014	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	HTAN::7319_AS_2_filtered_trimmed.h5ad	2047	2/2	0.5682	0.4767	0.1883	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	HTAN::7319_AS_2_filtered_trimmed.h5ad	2047	2/2	0.2583	0.1349	0.0793	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN::8270_AS_8_filtered_trimmed.h5ad	4620	16/16	0.9203	0.7892	0.4307	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN::8270_AS_8_filtered_trimmed.h5ad	4620	9/9	0.6712	0.6493	0.4126	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN::8270_AS_8_filtered_trimmed.h5ad	4620	11/11	0.7975	0.7732	0.3684	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN::8270_AS_8_filtered_trimmed.h5ad	4620	3/3	0.8568	0.8507	0.57	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN::8270_AS_8_filtered_trimmed.h5ad	4620	2/2	0.645	0.3749	0.1944	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN::8270_AS_8_filtered_trimmed.h5ad	4620	2/2	0.4864	0.4711	0.2298	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN::8578_AS_3_filtered_trimmed_WD84596.h5ad	422	16/16	0.6319	0.4697	0.1492	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN::8578_AS_3_filtered_trimmed_WD84596.h5ad	422	9/9	0.8853	0.5708	0.3497	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN::8578_AS_3_filtered_trimmed_WD84596.h5ad	422	11/11	0.6823	0.6424	0.2766	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN::8578_AS_3_filtered_trimmed_WD84596.h5ad	422	3/3	0.8361	0.7458	0.5691	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN::8578_AS_3_filtered_trimmed_WD84596.h5ad	422	2/2	0.5821	0.1947	0.145	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN::8578_AS_3_filtered_trimmed_WD84596.h5ad	422	2/2	0.6076	0.3862	0.169	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_1_filtered_trimmed.h5ad	3901	16/16	0.915	0.5766	0.4361	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_1_filtered_trimmed.h5ad	3901	9/9	0.7134	0.5373	0.4552	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_1_filtered_trimmed.h5ad	3901	11/11	0.803	0.7736	0.3	OK
