program	patient	n_sections	med_spots	med_moran_raw	med_moran_Q	med_moran_QC	status
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	1	469	0.6620	0.5743	0.3418	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	1	370	0.4307	0.3191	0.0410	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	1	818	0.4572	0.2643	0.0607	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	2	3684	0.6369	0.6575	0.2804	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	1	581	0.6209	0.5714	0.1355	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	1	584	0.8991	0.8560	0.2862	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	2	3540	0.8190	0.7528	0.4291	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	1	229	0.5921	0.2863	0.0240	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	1	494	0.7291	0.6637	0.3198	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	1	1312	0.3748	0.0929	0.0590	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	2	2681	0.7836	0.6789	0.3170	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	1	4132	0.7711	0.6227	0.2318	OK
