paper_sample_id	participant_id	biospecimen_id	parent_biospecimen_id	specimen_id	block_candidate	section_candidate	assay	platform	source_file	source_commit	evidence_grade
HT397B1-S1H3A1U61Bp1	HT397B1					61	Visium	Visium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U2	HT891Z1					2	VisiumHD	VisiumHD	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U33	HT891Z1					33	VisiumHD	VisiumHD	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1U2	HT704B1					2	VisiumHD	VisiumHD	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1U51	HT704B1					51	VisiumHD	VisiumHD	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT913Z1-S1H1Fp1	HT913Z1						CosMx	CosMx	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT891Z1-S2H1Fp1	HT891Z1						CosMx	CosMx	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT891Z1-S2H4Fp1	HT891Z1						CosMx	CosMx	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT891Z1-S2H3FP1Us1	HT891Z1						CosMx	CosMx	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT891Z1-S2H3FP1Us2	HT891Z1						CosMx	CosMx	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT206B1-H2L1U23_1	HT206B1					23	CosMx	CosMx	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1_U14	HT704B1					14	CosMx	CosMx	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1_U22	HT704B1					22	CosMx	CosMx	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1_U47	HT704B1					47	CosMx	CosMx	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1_U56	HT704B1					56	CosMx	CosMx	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U1	HT891Z1					1	Xenium	Xenium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U21	HT891Z1					21	Xenium	Xenium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U32	HT891Z1					32	Xenium	Xenium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U44	HT891Z1					44	Xenium	Xenium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
