go_id	raw_size	covered_size	n_input	n_readout	representative
GOBP_AMIDE_TRANSPORT	338	196	98	98	GOBP_AMIDE_TRANSPORT
GOBP_AMINE_BIOSYNTHETIC_PROCESS	42	27	14	13	GOBP_AMINE_BIOSYNTHETIC_PROCESS
GOBP_AMINE_CATABOLIC_PROCESS	22	10	5	5	GOBP_AMINE_CATABOLIC_PROCESS
GOBP_AMINE_METABOLIC_PROCESS	114	71	36	35	GOBP_AMINE_METABOLIC_PROCESS
GOBP_AMINE_TRANSPORT	90	56	28	28	GOBP_AMINE_TRANSPORT
GOBP_AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY	13	4	2	2	GOBP_AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY
GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	54	29	15	14	GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS
GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	32	20	10	10	GOBP_AMINOGLYCAN_CATABOLIC_PROCESS
GOBP_AMINOGLYCAN_METABOLIC_PROCESS	98	58	29	29	GOBP_AMINOGLYCAN_METABOLIC_PROCESS
GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS	10	4	2	2	GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS
GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION	7	4	2	2	GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION
GOBP_AMINOPHOSPHOLIPID_TRANSPORT	9	6	3	3	GOBP_AMINOPHOSPHOLIPID_TRANSPORT
GOBP_AMINO_ACID_ACTIVATION	45	10	5	5	GOBP_AMINO_ACID_ACTIVATION
GOBP_AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS	7	4	2	2	GOBP_AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS
GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS	19	11	6	5	GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS
GOBP_AMINO_ACID_BETAINE_TRANSPORT	14	7	4	3	GOBP_AMINO_ACID_BETAINE_TRANSPORT
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS	68	34	17	17	GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS
GOBP_AMINO_ACID_CATABOLIC_PROCESS	112	59	30	29	GOBP_AMINO_ACID_CATABOLIC_PROCESS
GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE	52	32	16	16	GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE
GOBP_AMINO_ACID_METABOLIC_PROCESS	282	130	65	65	GOBP_AMINO_ACID_METABOLIC_PROCESS
GOBP_AMINO_ACID_NEUROTRANSMITTER_REUPTAKE	10	4	2	2	GOBP_AMINO_ACID_NEUROTRANSMITTER_REUPTAKE
GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	112	60	30	30	GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT
GOBP_AMINO_ACID_TRANSPORT	167	87	44	43	GOBP_AMINO_ACID_TRANSPORT
GOBP_AMINO_SUGAR_BIOSYNTHETIC_PROCESS	13	5	3	2	GOBP_AMINO_SUGAR_BIOSYNTHETIC_PROCESS
GOBP_AMINO_SUGAR_CATABOLIC_PROCESS	14	8	4	4	GOBP_AMINO_SUGAR_CATABOLIC_PROCESS
GOBP_AMINO_SUGAR_METABOLIC_PROCESS	43	25	13	12	GOBP_AMINO_SUGAR_METABOLIC_PROCESS
GOBP_AMMONIUM_HOMEOSTASIS	7	5	3	2	GOBP_AMMONIUM_HOMEOSTASIS
GOBP_AMMONIUM_ION_METABOLIC_PROCESS	25	15	8	7	GOBP_AMMONIUM_ION_METABOLIC_PROCESS
GOBP_AMMONIUM_TRANSMEMBRANE_TRANSPORT	11	8	4	4	GOBP_AMMONIUM_TRANSMEMBRANE_TRANSPORT
GOBP_AMPA_GLUTAMATE_RECEPTOR_CLUSTERING	11	7	4	3	GOBP_AMPA_GLUTAMATE_RECEPTOR_CLUSTERING
