go_id	raw_size	covered_size	reason
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS	7	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_ERAD_PATHWAY	7	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_FILOPODIUM_ASSEMBLY	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	6	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_HEPATOCYTE_APOPTOTIC_PROCESS	6	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_HIPPOCAMPAL_NEURON_APOPTOTIC_PROCESS	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_HYDROGEN_PEROXIDE_METABOLIC_PROCESS	6	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_IMMATURE_T_CELL_PROLIFERATION	7	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_ALPHA_PRODUCTION	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_21_PRODUCTION	5	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY	11	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_LIPID_TRANSPORT	5	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_MATRIX_METALLOPEPTIDASE_SECRETION	8	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	20	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_MHC_CLASS_II_BIOSYNTHETIC_PROCESS	5	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_MIRNA_PROCESSING	9	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRIAL_FUSION	8	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_MYOBLAST_PROLIFERATION	9	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_MYOFIBROBLAST_DIFFERENTIATION	7	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	7	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_RECEPTOR_MEDIATED_GLUCOCORTICOID_SIGNALING_PATHWAY	7	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_PANCREATIC_JUICE_SECRETION	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY	8	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_PINOCYTOSIS	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS	5	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_FOLDING	5	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_K63_LINKED_UBIQUITINATION	5	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_KINASE_ACTIVITY_BY_REGULATION_OF_PROTEIN_PHOSPHORYLATION	5	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MICROTUBULE	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_NEDDYLATION	5	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	8	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_SUMOYLATION	11	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE	6	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION	6	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_BINDING	6	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_DRUG	14	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_RIG_I_SIGNALING_PATHWAY	8	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	6	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_STEROID_HORMONE_SECRETION	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	7	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_TELOMERE_CAPPING	8	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_2_SIGNALING_PATHWAY	6	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_TRANSLATIONAL_INITIATION_IN_RESPONSE_TO_STRESS	5	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS	6	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_TYPE_B_PANCREATIC_CELL_APOPTOTIC_PROCESS	6	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY	9	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	11	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_URINE_VOLUME	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_APOPTOTIC_PROCESS	7	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	28	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING	6	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING_SPREADING_OF_EPIDERMAL_CELLS	5	2	covered<3
GOBP_NEUROTROPHIN_PRODUCTION	5	2	covered<3
GOBP_NITROGEN_UTILIZATION	5	1	covered<3
GOBP_NON_LYTIC_VIRAL_RELEASE	15	2	covered<3
GOBP_NOTCH_RECEPTOR_PROCESSING	9	1	covered<3
GOBP_NUCLEAR_MIGRATION_ALONG_MICROTUBULE	5	2	covered<3
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_INDEPENDENT_DECAY	7	2	covered<3
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NO_GO_DECAY	6	2	covered<3
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_INTERCONVERSION	8	2	covered<3
GOBP_N_ACETYLNEURAMINATE_CATABOLIC_PROCESS	6	2	covered<3
GOBP_N_ACYLETHANOLAMINE_METABOLIC_PROCESS	5	2	covered<3
GOBP_N_TERMINAL_PROTEIN_LIPIDATION	6	0	covered<3
GOBP_OOCYTE_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION	6	2	covered<3
GOBP_OSTEOCLAST_FUSION	6	2	covered<3
GOBP_OTOLITH_MORPHOGENESIS	5	2	covered<3
GOBP_PENILE_ERECTION	5	2	covered<3
GOBP_PENTOSE_PHOSPHATE_SHUNT_NON_OXIDATIVE_BRANCH	6	2	covered<3
GOBP_PEPTIDYL_ARGININE_METHYLATION	5	1	covered<3
GOBP_PEPTIDYL_HISTIDINE_MODIFICATION	9	2	covered<3
GOBP_PEPTIDYL_LYSINE_DEACETYLATION	5	2	covered<3
GOBP_PEPTIDYL_LYSINE_DIMETHYLATION	5	1	covered<3
GOBP_PEPTIDYL_LYSINE_HYDROXYLATION	8	2	covered<3
GOBP_PEPTIDYL_LYSINE_MONOMETHYLATION	7	2	covered<3
GOBP_PEPTIDYL_LYSINE_TRIMETHYLATION	7	1	covered<3
GOBP_PEPTIDYL_SERINE_AUTOPHOSPHORYLATION	6	1	covered<3
GOBP_PHOSPHATIDYLETHANOLAMINE_BIOSYNTHETIC_PROCESS	9	2	covered<3
GOBP_PHOSPHATIDYLGLYCEROL_BIOSYNTHETIC_PROCESS	6	2	covered<3
GOBP_POLAR_BODY_EXTRUSION_AFTER_MEIOTIC_DIVISIONS	5	1	covered<3
GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_GENOME_REPLICATION	10	1	covered<3
GOBP_POSITIVE_REGULATION_OF_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	6	1	covered<3
GOBP_POSITIVE_REGULATION_OF_AGGREPHAGY	6	2	covered<3
GOBP_POSITIVE_REGULATION_OF_AMYLOID_FIBRIL_FORMATION	5	2	covered<3
