go_id	rep_id	n_input	n_readout	disc_QC_med	STCRC_mol	STCRC_dM1	STCRC_dM2	USZ_mol	USZ_dM1	USZ_dM2
GOBP_REGULATION_OF_MESODERM_DEVELOPMENT	GOBP_REGULATION_OF_MESODERM_DEVELOPMENT	2	2	-0.0052	-0.0053	0.01	0.00	0.0440	23.52	3.90
GOBP_REGULATION_OF_MESONEPHROS_DEVELOPMENT	GOBP_REGULATION_OF_MESONEPHROS_DEVELOPMENT	3	2	0.0101	0.0143	-0.02	-0.11	0.0206	-0.33	-0.46
GOBP_REGULATION_OF_METANEPHROS_DEVELOPMENT	GOBP_REGULATION_OF_METANEPHROS_DEVELOPMENT	2	2	0.0028	-0.0020	-0.02	0.01	0.0018	0.01	-0.02
GOBP_REGULATION_OF_METAPHASE_PLATE_CONGRESSION	GOBP_REGULATION_OF_METAPHASE_PLATE_CONGRESSION	3	3	0.0588	0.3957	7.76	10.26	0.1326	55.20	34.86
GOBP_REGULATION_OF_MICROGLIAL_CELL_ACTIVATION	GOBP_REGULATION_OF_MICROGLIAL_CELL_ACTIVATION	7	7	0.0239	0.2995	0.94	0.96	0.2011	6.70	6.67
GOBP_REGULATION_OF_MICROTUBULE_BASED_MOVEMENT	GOBP_REGULATION_OF_MICROTUBULE_BASED_MOVEMENT	16	15	0.0317	0.3769	0.30	0.27	0.1895	12.17	9.72
GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS	GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS	64	63	0.0890	0.8644	24.17	10.36	0.6539	86.22	21.51
GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION	GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION	38	38	0.0696	0.7857	12.34	3.65	0.5693	75.91	29.50
GOBP_REGULATION_OF_MICROTUBULE_DEPOLYMERIZATION	GOBP_REGULATION_OF_MICROTUBULE_DEPOLYMERIZATION	10	10	0.0514	0.3713	0.26	-0.04	0.2671	35.03	15.07
GOBP_REGULATION_OF_MICROTUBULE_NUCLEATION	GOBP_REGULATION_OF_MICROTUBULE_NUCLEATION	5	4	0.0423	0.4876	1.67	0.96	0.2555	45.04	22.61
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION	GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION	14	13	0.0474	0.5830	2.15	3.93	0.4060	46.53	15.02
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	25	24	0.0463	0.7209	2.96	4.08	0.4924	66.81	35.98
GOBP_REGULATION_OF_MICROVILLUS_ASSEMBLY	GOBP_REGULATION_OF_MICROVILLUS_ASSEMBLY	3	3	0.0382	0.3860	2.72	0.15	0.1028	17.59	1.59
GOBP_REGULATION_OF_MICROVILLUS_LENGTH	GOBP_REGULATION_OF_MICROVILLUS_LENGTH	3	3	0.0508	0.6004	5.93	2.78	0.1165	-0.01	-0.24
GOBP_REGULATION_OF_MICROVILLUS_ORGANIZATION	GOBP_REGULATION_OF_MICROVILLUS_ORGANIZATION	6	6	0.0846	0.6065	9.58	3.59	0.3020	37.76	13.96
GOBP_REGULATION_OF_MIRNA_CATABOLIC_PROCESS	GOBP_REGULATION_OF_MIRNA_CATABOLIC_PROCESS	2	1	0.0212	0.1476	0.08	0.39	0.0732	0.88	1.34
GOBP_REGULATION_OF_MIRNA_METABOLIC_PROCESS	GOBP_REGULATION_OF_MIRNA_METABOLIC_PROCESS	22	21	0.0692	0.7421	3.05	0.97	0.6407	56.04	18.43
GOBP_REGULATION_OF_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_REGULATION_OF_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	3	2	0.0466	0.3383	1.76	1.13	0.1634	11.92	9.29
GOBP_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION	GOBP_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION	6	6	0.2011	0.3958	2.88	0.34	0.3134	0.32	0.36
GOBP_REGULATION_OF_MITOCHONDRIAL_FISSION	GOBP_REGULATION_OF_MITOCHONDRIAL_FISSION	6	5	0.0601	0.3638	-0.99	-0.21	0.1643	-0.07	0.26
GOBP_REGULATION_OF_MITOCHONDRIAL_FUSION	GOBP_REGULATION_OF_MITOCHONDRIAL_FUSION	2	2	0.0280	0.2838	0.19	0.19	0.1297	16.48	2.19
GOBP_REGULATION_OF_MITOCHONDRIAL_GENE_EXPRESSION	GOBP_REGULATION_OF_MITOCHONDRIAL_GENE_EXPRESSION	5	4	0.0354	0.4388	1.87	2.95	0.1639	40.15	14.48
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY	GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY	8	7	0.0725	0.5436	-2.42	0.47	0.3062	44.34	17.03
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY_INVOLVED_IN_APOPTOTIC_PROCESS	GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY_INVOLVED_IN_APOPTOTIC_PROCESS	6	5	0.0396	0.4803	-0.18	-0.27	0.2688	29.79	17.55
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL	GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL	18	17	0.0682	0.7898	10.86	2.32	0.6593	36.54	9.61
GOBP_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	GOBP_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	3	3	0.1091	0.4241	-1.68	-0.39	0.1996	17.36	11.64
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	2	1	0.0221	0.3728	1.54	1.36	0.0982	21.50	27.24
GOBP_REGULATION_OF_MITOCHONDRIAL_TRANSLATION	GOBP_REGULATION_OF_MITOCHONDRIAL_TRANSLATION	4	4	0.0369	0.4252	0.68	0.66	0.1641	37.81	13.29
GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION	GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION	24	23	0.1036	0.7753	15.50	4.55	0.6508	40.02	15.07
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE	GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE	119	118	0.1285	0.9144	50.05	2.90	0.8417	93.51	9.92
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	81	81	0.1514	0.9133	41.50	8.43	0.8116	93.50	10.19
GOBP_REGULATION_OF_MITOTIC_CENTROSOME_SEPARATION	GOBP_REGULATION_OF_MITOTIC_CENTROSOME_SEPARATION	2	2	0.0192	0.1207	0.22	1.02	0.0716	23.96	22.12
GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS	GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS	4	3	0.0499	0.3258	6.45	8.45	0.1147	52.20	38.74
GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	37	36	0.0968	0.7673	18.77	7.78	0.5362	83.35	17.51
GOBP_REGULATION_OF_MITOTIC_RECOMBINATION	GOBP_REGULATION_OF_MITOTIC_RECOMBINATION	3	2	0.0196	0.1219	-0.09	0.15	0.0448	2.94	3.97
GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	16	16	0.1006	0.7114	17.00	5.77	0.3610	76.72	24.36
GOBP_REGULATION_OF_MITOTIC_SPINDLE_ASSEMBLY	GOBP_REGULATION_OF_MITOTIC_SPINDLE_ASSEMBLY	4	4	0.0494	0.5148	0.09	0.73	0.2283	24.74	30.80
GOBP_REGULATION_OF_MODIFICATION_OF_POSTSYNAPTIC_ACTIN_CYTOSKELETON	GOBP_REGULATION_OF_MODIFICATION_OF_POSTSYNAPTIC_ACTIN_CYTOSKELETON	2	1	0.0164	0.0852	-0.08	-0.19	0.0471	0.21	0.40
GOBP_REGULATION_OF_MODIFICATION_OF_POSTSYNAPTIC_STRUCTURE	GOBP_REGULATION_OF_MODIFICATION_OF_POSTSYNAPTIC_STRUCTURE	4	3	0.0590	0.3114	2.10	3.06	0.1284	5.58	4.29
GOBP_REGULATION_OF_MODIFICATION_OF_SYNAPTIC_STRUCTURE	GOBP_REGULATION_OF_MODIFICATION_OF_SYNAPTIC_STRUCTURE	5	4	0.0120	0.4108	1.58	2.56	0.1343	11.30	18.95
GOBP_REGULATION_OF_MOLECULAR_FUNCTION	GOBP_REGULATION_OF_MOLECULAR_FUNCTION	232	231	0.1481	0.9666	57.20	2.92	0.9280	93.51	4.58
GOBP_REGULATION_OF_MONOATOMIC_ANION_TRANSPORT	GOBP_REGULATION_OF_MONOATOMIC_ANION_TRANSPORT	5	5	0.0380	0.4033	5.24	2.83	0.1470	-0.12	-0.69
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	87	87	0.0689	0.8511	16.79	2.16	0.7999	59.83	11.02
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT	128	128	0.0895	0.9262	20.27	2.75	0.8633	78.00	13.23
GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS	GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS	12	11	0.1382	0.5662	3.86	0.56	0.4007	7.34	1.27
GOBP_REGULATION_OF_MONOCYTE_DIFFERENTIATION	GOBP_REGULATION_OF_MONOCYTE_DIFFERENTIATION	6	6	0.0417	0.6308	13.81	12.90	0.4555	2.99	0.49
GOBP_REGULATION_OF_MONOCYTE_EXTRAVASATION	GOBP_REGULATION_OF_MONOCYTE_EXTRAVASATION	2	2	0.0115	0.0879	1.51	-0.89	0.0448	1.71	4.64
GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION	GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION	52	52	0.0612	0.8689	21.32	5.62	0.7870	67.44	15.12
GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM	GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM	28	27	0.0829	0.6519	1.63	-0.08	0.6107	54.22	18.75
GOBP_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	GOBP_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	21	21	0.0560	0.6919	10.74	8.49	0.5101	65.30	18.41
GOBP_REGULATION_OF_MOTOR_NEURON_APOPTOTIC_PROCESS	GOBP_REGULATION_OF_MOTOR_NEURON_APOPTOTIC_PROCESS	3	2	0.0354	0.0044	1.16	2.24	0.0171	-7.73	8.11
GOBP_REGULATION_OF_MRNA_3_END_PROCESSING	GOBP_REGULATION_OF_MRNA_3_END_PROCESSING	2	1	0.0261	0.2128	-0.28	-0.39	0.0880	9.86	7.09
GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS	GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS	43	43	0.0625	0.8939	19.83	7.52	0.7769	81.78	14.72
GOBP_REGULATION_OF_MRNA_EXPORT_FROM_NUCLEUS	GOBP_REGULATION_OF_MRNA_EXPORT_FROM_NUCLEUS	2	2	0.0135	0.1544	0.14	0.81	0.0893	8.21	18.54
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	63	62	0.1018	0.9203	38.24	6.99	0.8328	84.63	5.11
GOBP_REGULATION_OF_MRNA_PROCESSING	GOBP_REGULATION_OF_MRNA_PROCESSING	22	21	0.0645	0.7968	13.16	4.72	0.6087	62.15	17.66
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	18	17	0.0489	0.7840	9.23	5.59	0.6143	63.43	10.99
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	404	404	0.1674	0.9753	68.27	4.87	0.9553	92.14	7.93
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISM_GROWTH	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISM_GROWTH	14	13	0.0276	0.6915	4.42	6.08	0.3854	51.40	21.52
GOBP_REGULATION_OF_MUSCLE_ADAPTATION	GOBP_REGULATION_OF_MUSCLE_ADAPTATION	20	19	0.0558	0.5838	7.81	6.39	0.4017	39.12	10.16
GOBP_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION	36	36	0.0549	0.7719	6.06	6.50	0.5324	62.45	19.61
GOBP_REGULATION_OF_MUSCLE_CONTRACTION	GOBP_REGULATION_OF_MUSCLE_CONTRACTION	54	53	0.0553	0.8419	10.51	5.87	0.7298	62.40	12.50
GOBP_REGULATION_OF_MUSCLE_HYPERTROPHY	GOBP_REGULATION_OF_MUSCLE_HYPERTROPHY	15	14	0.0335	0.5196	3.92	1.82	0.3571	25.20	10.03
GOBP_REGULATION_OF_MUSCLE_ORGAN_DEVELOPMENT	GOBP_REGULATION_OF_MUSCLE_ORGAN_DEVELOPMENT	11	11	0.0277	0.2771	0.48	1.70	0.1690	8.96	13.91
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	71	70	0.0889	0.8293	16.92	2.51	0.7549	64.59	9.98
GOBP_REGULATION_OF_MYD88_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	GOBP_REGULATION_OF_MYD88_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	2	2	0.0166	0.1565	6.19	17.61	0.1395	0.45	1.43
GOBP_REGULATION_OF_MYELINATION	GOBP_REGULATION_OF_MYELINATION	15	14	0.0307	0.3992	2.20	2.35	0.3877	30.77	21.34
GOBP_REGULATION_OF_MYELOID_CELL_APOPTOTIC_PROCESS	GOBP_REGULATION_OF_MYELOID_CELL_APOPTOTIC_PROCESS	10	9	0.0309	0.4158	-1.83	0.10	0.3685	28.67	13.45
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION	57	57	0.0578	0.8536	34.67	6.44	0.8135	48.48	7.88
GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION	GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION	36	35	0.0515	0.7638	31.92	7.01	0.7080	24.89	2.05
GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	14	13	0.0490	0.6163	4.80	1.95	0.5659	18.46	9.79
GOBP_REGULATION_OF_MYOBLAST_DIFFERENTIATION	GOBP_REGULATION_OF_MYOBLAST_DIFFERENTIATION	21	21	0.0572	0.7281	10.93	4.31	0.5795	53.58	18.80
GOBP_REGULATION_OF_MYOBLAST_FUSION	GOBP_REGULATION_OF_MYOBLAST_FUSION	8	7	0.0343	0.3480	-19.76	3.57	0.2387	1.83	0.25
GOBP_REGULATION_OF_MYOBLAST_PROLIFERATION	GOBP_REGULATION_OF_MYOBLAST_PROLIFERATION	5	4	0.0257	0.0412	-0.16	-0.15	0.0504	6.56	3.73
GOBP_REGULATION_OF_MYOTUBE_DIFFERENTIATION	GOBP_REGULATION_OF_MYOTUBE_DIFFERENTIATION	11	10	0.0759	0.3491	-1.66	-0.87	0.2224	19.42	11.10
GOBP_REGULATION_OF_NADP_METABOLIC_PROCESS	GOBP_REGULATION_OF_NADP_METABOLIC_PROCESS	4	3	0.0369	0.2876	2.16	2.56	0.1082	26.32	20.20
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION	GOBP_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION	13	13	0.0348	0.5180	6.52	4.81	0.4939	11.95	9.68
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS	GOBP_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS	3	2	0.0151	0.1445	4.25	7.67	0.0597	0.06	0.12
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_NATURAL_KILLER_CELL_DIFFERENTIATION	5	4	0.0063	0.2324	-0.88	-2.42	0.1062	0.36	1.44
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL	GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL	4	3	0.0548	0.3165	0.38	0.42	0.1031	3.06	3.89
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	17	17	0.0609	0.7079	11.99	10.51	0.5408	9.37	5.08
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_PROLIFERATION	GOBP_REGULATION_OF_NATURAL_KILLER_CELL_PROLIFERATION	4	3	0.0098	0.3765	1.33	7.44	0.2130	0.79	2.18
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	126	125	0.1084	0.9060	47.50	9.03	0.8545	86.38	11.09
GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	38	37	0.0464	0.6294	8.30	4.01	0.5060	50.37	16.34
GOBP_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION	GOBP_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION	29	29	0.0324	0.7174	5.95	5.17	0.5466	54.12	17.12
GOBP_REGULATION_OF_NEUROBLAST_PROLIFERATION	GOBP_REGULATION_OF_NEUROBLAST_PROLIFERATION	14	13	0.0249	0.4566	-0.34	-0.27	0.3856	31.99	16.62
GOBP_REGULATION_OF_NEUROFIBRILLARY_TANGLE_ASSEMBLY	GOBP_REGULATION_OF_NEUROFIBRILLARY_TANGLE_ASSEMBLY	2	1	0.0553	0.1900	3.45	2.09	0.1890	-0.83	-0.53
GOBP_REGULATION_OF_NEUROGENESIS	GOBP_REGULATION_OF_NEUROGENESIS	103	102	0.0989	0.8547	33.83	8.91	0.8092	82.27	13.32
GOBP_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE	GOBP_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE	14	14	0.0605	0.5410	2.32	1.13	0.3737	1.29	0.01
GOBP_REGULATION_OF_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	GOBP_REGULATION_OF_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	2	2	-0.0055	0.0209	-0.02	-0.04	-0.0059	0.89	1.82
GOBP_REGULATION_OF_NEURONAL_ACTION_POTENTIAL	GOBP_REGULATION_OF_NEURONAL_ACTION_POTENTIAL	2	1	0.0161	0.0113	-0.08	-0.02	0.0080	-0.03	0.38
GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	18	17	0.0268	0.3722	1.19	2.48	0.2067	20.43	18.43
GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	65	64	0.0919	0.8843	8.33	2.42	0.7869	77.84	12.84
GOBP_REGULATION_OF_NEURON_DIFFERENTIATION	GOBP_REGULATION_OF_NEURON_DIFFERENTIATION	58	57	0.0473	0.7332	4.41	-0.28	0.6825	74.58	15.17
GOBP_REGULATION_OF_NEURON_MIGRATION	GOBP_REGULATION_OF_NEURON_MIGRATION	13	12	0.1371	0.4023	-3.40	0.36	0.3242	10.94	1.26
GOBP_REGULATION_OF_NEURON_PROJECTION_ARBORIZATION	GOBP_REGULATION_OF_NEURON_PROJECTION_ARBORIZATION	3	2	0.0246	0.0401	-0.37	-0.68	0.0931	3.42	8.81
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	117	117	0.0822	0.9105	29.80	3.40	0.8236	86.31	12.14
GOBP_REGULATION_OF_NEURON_PROJECTION_REGENERATION	GOBP_REGULATION_OF_NEURON_PROJECTION_REGENERATION	9	8	0.0730	0.4641	-0.09	-0.50	0.2687	14.41	2.75
GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	8	7	0.0299	0.0388	-0.72	0.62	0.0425	2.15	3.25
GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	5	5	0.0211	0.3309	1.02	2.57	0.1790	30.07	19.92
GOBP_REGULATION_OF_NEUROTRANSMITTER_SECRETION	GOBP_REGULATION_OF_NEUROTRANSMITTER_SECRETION	25	24	0.0309	0.3742	0.24	0.10	0.2581	38.47	15.45
GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	30	29	0.0343	0.3872	1.15	0.91	0.2964	43.36	14.20
GOBP_REGULATION_OF_NEUROTRANSMITTER_UPTAKE	GOBP_REGULATION_OF_NEUROTRANSMITTER_UPTAKE	6	5	0.0214	0.0595	0.15	0.08	0.0752	0.76	1.27
GOBP_REGULATION_OF_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY	GOBP_REGULATION_OF_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY	5	4	0.0134	0.2318	0.14	0.32	0.0835	4.67	3.29
GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION	GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION	4	4	-0.0017	0.1124	-0.18	-1.20	0.1413	0.16	0.87
GOBP_REGULATION_OF_NEUTROPHIL_CHEMOTAXIS	GOBP_REGULATION_OF_NEUTROPHIL_CHEMOTAXIS	15	14	0.0514	0.5180	10.55	5.87	0.4544	13.46	8.88
GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION	GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION	2	2	0.0212	0.0891	-1.47	0.13	0.0671	-0.15	-0.27
GOBP_REGULATION_OF_NEUTROPHIL_EXTRAVASATION	GOBP_REGULATION_OF_NEUTROPHIL_EXTRAVASATION	3	2	0.0072	0.1241	1.32	6.42	0.0496	-0.27	-1.27
GOBP_REGULATION_OF_NEUTROPHIL_MEDIATED_CYTOTOXICITY	GOBP_REGULATION_OF_NEUTROPHIL_MEDIATED_CYTOTOXICITY	2	2	0.0067	0.0970	0.00	0.02	0.0176	3.39	3.63
GOBP_REGULATION_OF_NEUTROPHIL_MIGRATION	GOBP_REGULATION_OF_NEUTROPHIL_MIGRATION	17	17	0.0651	0.6573	14.32	9.35	0.5250	13.53	11.81
GOBP_REGULATION_OF_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION	GOBP_REGULATION_OF_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION	4	4	0.0519	0.3538	-0.14	-0.63	0.3129	2.36	1.66
GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS	GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS	19	18	0.0570	0.7410	11.76	2.91	0.6612	36.28	12.08
GOBP_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY	GOBP_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY	3	3	0.0265	0.1974	0.27	1.05	0.0611	5.26	8.63
GOBP_REGULATION_OF_NK_T_CELL_ACTIVATION	GOBP_REGULATION_OF_NK_T_CELL_ACTIVATION	6	5	0.0194	0.5006	3.69	5.32	0.1641	6.12	6.28
GOBP_REGULATION_OF_NK_T_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_NK_T_CELL_DIFFERENTIATION	2	1	0.0004	0.0096	-0.06	0.80	0.0173	-0.15	-0.17
GOBP_REGULATION_OF_NK_T_CELL_PROLIFERATION	GOBP_REGULATION_OF_NK_T_CELL_PROLIFERATION	3	3	0.0244	0.1874	0.63	1.14	0.0597	0.11	0.06
GOBP_REGULATION_OF_NODAL_SIGNALING_PATHWAY	GOBP_REGULATION_OF_NODAL_SIGNALING_PATHWAY	3	2	0.0226	0.1208	0.32	1.35	0.0500	18.84	21.29
GOBP_REGULATION_OF_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	GOBP_REGULATION_OF_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	25	24	0.0450	0.6254	0.06	0.31	0.5904	33.28	15.56
GOBP_REGULATION_OF_NON_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_REGULATION_OF_NON_CANONICAL_WNT_SIGNALING_PATHWAY	7	7	0.0430	0.2430	0.98	-0.48	0.2002	7.79	0.47
GOBP_REGULATION_OF_NON_MOTILE_CILIUM_ASSEMBLY	GOBP_REGULATION_OF_NON_MOTILE_CILIUM_ASSEMBLY	3	2	0.0080	0.3090	0.11	0.32	0.0955	15.20	24.48
GOBP_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	GOBP_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	27	26	0.0447	0.6564	7.59	0.39	0.5341	68.07	21.36
GOBP_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION	GOBP_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION	5	4	0.0066	0.1896	0.20	1.11	0.1396	31.02	21.41
GOBP_REGULATION_OF_NUCLEAR_DIVISION	GOBP_REGULATION_OF_NUCLEAR_DIVISION	46	45	0.1040	0.8091	26.28	4.00	0.6137	78.92	26.55
GOBP_REGULATION_OF_NUCLEAR_RECEPTOR_MEDIATED_GLUCOCORTICOID_SIGNALING_PATHWAY	GOBP_REGULATION_OF_NUCLEAR_RECEPTOR_MEDIATED_GLUCOCORTICOID_SIGNALING_PATHWAY	2	1	0.0161	0.1122	0.16	0.14	0.0350	4.23	2.40
