go_id	rep_id	n_input	n_readout	disc_QC_med	STCRC_mol	STCRC_dM1	STCRC_dM2	USZ_mol	USZ_dM1	USZ_dM2
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	15	15	0.0515	0.7483	8.43	7.60	0.4467	59.57	20.50
GOBP_AMACRINE_CELL_DIFFERENTIATION	GOBP_AMACRINE_CELL_DIFFERENTIATION	4	4	0.0000	0.0175	-0.01	0.00	0.0021	1.68	8.76
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	72	71	0.1001	0.8913	29.10	3.33	0.8376	60.23	0.58
GOBP_AMELOBLAST_DIFFERENTIATION	GOBP_AMELOBLAST_DIFFERENTIATION	4	3	0.0289	0.2076	1.64	2.52	0.1645	33.64	2.18
GOBP_AMELOGENESIS	GOBP_AMELOGENESIS	10	9	0.0171	0.3110	-0.11	0.50	0.2757	49.13	26.67
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	45	45	0.0719	0.8319	17.48	4.78	0.6110	74.21	26.37
GOBP_AMIDE_CATABOLIC_PROCESS	GOBP_AMIDE_CATABOLIC_PROCESS	4	4	0.0493	0.0449	-0.11	-0.81	0.0387	0.81	1.92
GOBP_AMIDE_METABOLIC_PROCESS	GOBP_AMIDE_METABOLIC_PROCESS	127	127	0.1312	0.9267	38.88	3.96	0.8657	84.88	12.84
GOBP_AMIDE_TRANSPORT	GOBP_AMIDE_TRANSPORT	98	98	0.0707	0.8801	6.15	0.36	0.7826	68.18	6.59
GOBP_AMINE_BIOSYNTHETIC_PROCESS	GOBP_AMINE_BIOSYNTHETIC_PROCESS	14	13	0.0548	0.6639	4.50	-0.34	0.4423	32.91	2.52
GOBP_AMINE_CATABOLIC_PROCESS	GOBP_AMINE_CATABOLIC_PROCESS	5	5	0.0457	0.4355	0.13	-0.34	0.2913	28.26	17.38
GOBP_AMINE_METABOLIC_PROCESS	GOBP_AMINE_METABOLIC_PROCESS	36	35	0.0401	0.7829	17.80	2.36	0.6383	44.26	27.45
GOBP_AMINE_TRANSPORT	GOBP_AMINE_TRANSPORT	28	28	0.0465	0.4741	-0.07	0.15	0.2402	22.55	16.80
GOBP_AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY	GOBP_AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY	2	2	0.0178	0.2455	0.81	1.66	0.0712	21.91	31.23
